identifier,date,chargedAmount,originalCurrency,type,category,description,status
"74580004200262216285733","2024-07-16T21:00:00.000Z",-62,"ILS","normal","מסעדות, קפה וברים","דבוש קרליבך","completed"
"04557434205007627694142","2024-07-21T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403034208032007508807","2024-07-23T21:00:00.000Z",-77,"ILS","normal","מסעדות, קפה וברים","בית קפה התחתית  בע""מ","completed"
"74403034208032002129450","2024-07-24T21:00:00.000Z",-38.9,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"74403034210003000567104","2024-07-24T21:00:00.000Z",-12,"ILS","normal","תחבורה ורכבים","מ.תחבורה - פנגו מוביט","completed"
"74580004214263226720499","2024-07-30T21:00:00.000Z",-44,"ILS","normal","מסעדות, קפה וברים","פלאפל השרון","completed"
"04557434225008423434556","2024-08-09T21:00:00.000Z",-83.53,"ILS","normal","מסעדות, קפה וברים","סיבוס פלאקסי","completed"
"04557434229008585404708","2024-08-14T21:00:00.000Z",-24,"ILS","normal","מסעדות, קפה וברים","פלאפל 4 טעמים אבן גבירול","completed"
"74580004229264224385064","2024-08-14T21:00:00.000Z",-74,"ILS","normal","מסעדות, קפה וברים","אם בי בורגר בע""מ","completed"
"04557434231008624454777","2024-08-15T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"04557434234008753857979","2024-08-19T21:00:00.000Z",-53,"ILS","normal","מסעדות, קפה וברים","חומוס אבו אדהם גרי השקעות","completed"
"04557434236008850261354","2024-08-21T21:00:00.000Z",-36,"ILS","normal","מסעדות, קפה וברים","פלאפל 4 טעמים אבן גבירול","completed"
"74403034239031002610553","2024-08-24T21:00:00.000Z",-38.9,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"74403034240030003048927","2024-08-24T21:00:00.000Z",-18,"ILS","normal","תחבורה ורכבים","מ.תחבורה - פנגו מוביט","completed"
"74403034242028005442609","2024-08-26T21:00:00.000Z",-66,"ILS","normal","מסעדות, קפה וברים","גו - יצחק שדה","completed"
"74403034243027006090150","2024-08-27T21:00:00.000Z",-66,"ILS","normal","מסעדות, קפה וברים","גו - יצחק שדה","completed"
"04557434245000244072836","2024-08-29T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"04557434252000500371203","2024-09-06T21:00:00.000Z",-1159,"ILS","normal","קוסמטיקה וטיפוח","3030SPA&HAMAM","completed"
"04557434256000660850117","2024-09-10T21:00:00.000Z",-94.5,"ILS","normal","מסעדות, קפה וברים","אולימפוס","completed"
"04557434257000693638439","2024-09-11T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"04557434262000869959026","2024-09-16T21:00:00.000Z",-218,"ILS","normal","מסעדות, קפה וברים","פלאזה קפה","completed"
"04557434263000904086198","2024-09-17T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74580004263266605690324","2024-09-17T21:00:00.000Z",-44,"ILS","normal","מסעדות, קפה וברים","פלאפל השרון","completed"
"74580004264266677415807","2024-09-18T21:00:00.000Z",-55,"ILS","normal","מסעדות, קפה וברים","קונגרס בזל","completed"
"74403034270027001874232","2024-09-24T21:00:00.000Z",-38.9,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"74403034271033003251352","2024-09-24T21:00:00.000Z",-24,"ILS","normal","תחבורה ורכבים","מ.תחבורה - פנגו מוביט","completed"
"04557434271001278694823","2024-09-25T21:00:00.000Z",-32,"ILS","normal","מסעדות, קפה וברים","פלאפל 4 טעמים אבן גבירול","completed"
"04557434273001319363279","2024-09-26T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"04557434281001593732538","2024-10-05T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403034284024003479429","2024-10-07T21:00:00.000Z",-61,"ILS","normal","מסעדות, קפה וברים","ציקן סטיישן חשמונאים","completed"
"74580004290268364927316","2024-10-14T21:00:00.000Z",-44,"ILS","normal","מסעדות, קפה וברים","פלאפל השרון","completed"
"74403034299024006921107","2024-10-21T21:00:00.000Z",-66,"ILS","normal","מסעדות, קפה וברים","גו יצחק  שדה אינטרנט","completed"
"04557434299002173592912","2024-10-23T21:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403034301031002471843","2024-10-24T21:00:00.000Z",-38.9,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"74403034301046001842745","2024-10-24T21:00:00.000Z",-60,"ILS","normal","מסעדות, קפה וברים","תן ביס","completed"
"74580004302269102196004","2024-10-26T21:00:00.000Z",-110.01,"ILS","normal","מזון וצריכה","שופרסל און ליין","completed"
"74580004302269102196301","2024-10-26T21:00:00.000Z",-383.86,"ILS","normal","מזון וצריכה","שופרסל און ליין","completed"
"74580004303269187604129","2024-10-27T22:00:00.000Z",15.9,"ILS","normal","מזון וצריכה","שופרסל בע""מ","completed"
"24275394303900010099356","2024-10-28T22:00:00.000Z",-24.75,"USD","normal","שונות","BRANDVIA-HALO SWAGSHOP 408-9550500   US","completed"
"74403034306030005375204","2024-10-29T22:00:00.000Z",-79,"ILS","normal","מסעדות, קפה וברים","בית קפה התחתית  בע""מ","completed"
"04557434306002529452770","2024-10-30T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74580004311269768840159","2024-11-04T22:00:00.000Z",-86,"ILS","normal","מסעדות, קפה וברים","NEHCTIK IAHT AMUANO","completed"
"04557434315002807997677","2024-11-08T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"04557434317002893672505","2024-11-09T22:00:00.000Z",-73.37,"ILS","normal","מסעדות, קפה וברים","סיבוס פלאקסי","completed"
"74403034319026002027538","2024-11-11T22:00:00.000Z",-158,"ILS","normal","מסעדות, קפה וברים","תן ביס","completed"
"04557434319002970247518","2024-11-12T22:00:00.000Z",-60,"ILS","normal","מסעדות, קפה וברים","בית החומוס והפול","completed"
"04557434326003209736462","2024-11-19T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"04557434327003259896892","2024-11-20T22:00:00.000Z",-24,"ILS","normal","מסעדות, קפה וברים","פלאפל 4 טעמים אבן גבירול","completed"
"74403034332003001304104","2024-11-24T22:00:00.000Z",-38.9,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"74403034332034003835480","2024-11-24T22:00:00.000Z",-6,"ILS","normal","תחבורה ורכבים","מ.תחבורה - פנגו מוביט","completed"
"74580004334271389724047","2024-11-27T22:00:00.000Z",-74,"ILS","normal","מסעדות, קפה וברים","אם בי בורגר בע""מ","completed"
"74580004343271967119726","2024-12-05T22:00:00.000Z",-275,"ILS","normal","חשמל ומחשבים","אלפי פלטפורמות טכנולוגיות","completed"
"04557434347004046438481","2024-12-10T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74580004353272660106322","2024-12-16T22:00:00.000Z",-55,"ILS","normal","מסעדות, קפה וברים","צ'יבורק המסעדה הבוכרית","completed"
"04557434354004285603035","2024-12-17T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403034361029003621454","2024-12-23T22:00:00.000Z",-68,"ILS","normal","מסעדות, קפה וברים","מיאזקי","completed"
"04557434360004499987861","2024-12-23T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403034361029001930618","2024-12-24T22:00:00.000Z",-38.9,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"74403034362036004359900","2024-12-24T22:00:00.000Z",-18,"ILS","normal","תחבורה ורכבים","מ.תחבורה - פנגו מוביט","completed"
"04557435003004913819229","2025-01-01T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"04557435008005069827523","2025-01-06T22:00:00.000Z",-57,"ILS","normal","מסעדות, קפה וברים","הבוכרי שווארמה","completed"
"04557435010005152421123","2025-01-08T22:00:00.000Z",-24,"ILS","normal","מסעדות, קפה וברים","פלאפל 4 טעמים אבן גבירול","completed"
"04557435013005242455708","2025-01-11T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403035017031001953157","2025-01-14T22:00:00.000Z",-66,"ILS","normal","מסעדות, קפה וברים","פורט 19 חשמונאים","completed"
"04557435023005600931330","2025-01-21T22:00:00.000Z",-54,"ILS","normal","מסעדות, קפה וברים","בית החומוס והפול","completed"
"74403035026040001849553","2025-01-24T22:00:00.000Z",-39.57,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"74403035027029002116962","2025-01-24T22:00:00.000Z",-18,"ILS","normal","תחבורה ורכבים","מ.תחבורה - פנגו מוביט","completed"
"04557435029005899307253","2025-01-27T22:00:00.000Z",-67,"ILS","normal","מסעדות, קפה וברים","רחל בשדרה ת""א בע""מ","completed"
"74580005029275621058285","2025-01-27T22:00:00.000Z",-15,"ILS","normal","מסעדות, קפה וברים","קפה פרידה","completed"
"74580005030275706617044","2025-01-28T22:00:00.000Z",-80,"ILS","normal","מסעדות, קפה וברים","NEHCTIK IAHT AMUANO","completed"
"74403035037027006139574","2025-02-03T22:00:00.000Z",-70,"ILS","normal","מסעדות, קפה וברים","גו יצחק  שדה אינטרנט","completed"
